City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Zhangye,CN,2021-07-26 17:45:55,38.9342,100.4517,76.69,29,95,7.34,overcast clouds
239,Ampanihy,MG,2021-07-26 17:48:04,-24.7,44.75,62.06,67,57,15.32,broken clouds
240,Khatanga,RU,2021-07-26 17:48:05,71.9667,102.5,58.64,69,74,12.06,broken clouds
241,Chumikan,RU,2021-07-26 17:48:05,54.7183,135.315,61.3,81,99,3.83,overcast clouds
242,Petropavlovsk-Kamchatskiy,RU,2021-07-26 17:45:31,53.0452,158.6483,70.39,83,40,6.71,scattered clouds
243,Cacequi,BR,2021-07-26 17:48:07,-29.8836,-54.825,67.66,87,100,6.24,moderate rain
244,Deputatskiy,RU,2021-07-26 17:48:07,69.3,139.9,46.06,86,100,4.65,overcast clouds
245,Laguna,US,2021-07-26 17:48:08,38.421,-121.4238,88.3,63,1,9.22,clear sky
246,Jasper,US,2021-07-26 17:47:01,37.2001,-94.3502,90.88,67,1,1.01,clear sky
247,Borogontsy,RU,2021-07-26 17:48:09,62.6683,131.1683,64.56,76,11,6.26,few clouds
248,Natal,BR,2021-07-26 17:48:09,-5.795,-35.2094,84.85,61,40,20.71,scattered clouds
249,Mazyr,BY,2021-07-26 17:48:10,52.0495,29.2456,71.02,57,51,6.29,broken clouds
250,Humboldt,US,2021-07-26 17:48:10,40.6665,-123.9178,70.59,39,100,4.14,overcast clouds
251,Cookeville,US,2021-07-26 17:47:36,36.1628,-85.5016,89.31,67,75,3.0,broken clouds
252,Grand Gaube,MU,2021-07-26 17:48:11,-20.0064,57.6608,68.4,83,3,3.0,light rain
253,Hailar,CN,2021-07-26 17:48:11,49.2,119.7,58.75,92,96,3.76,light rain
254,Macapa,BR,2021-07-26 17:48:12,0.0389,-51.0664,91.38,58,75,4.61,broken clouds
255,Sao Joao Da Barra,BR,2021-07-26 17:45:52,-21.6403,-41.0511,80.69,68,0,16.89,clear sky
256,Novosheshminsk,RU,2021-07-26 17:48:13,55.0651,51.2338,59.65,60,57,6.82,broken clouds
257,Gushikawa,JP,2021-07-26 17:48:18,26.3544,127.8686,81.63,92,75,13.8,broken clouds
258,Mayumba,GA,2021-07-26 17:48:08,-3.432,10.6554,71.98,88,97,7.45,overcast clouds
259,Kadirli,TR,2021-07-26 17:48:19,37.3739,36.0961,82.0,72,2,2.68,clear sky
